grp_type,grpcode,grpname,protocol,dev_type,local_address,remote_address,recv_send,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,PCS1_TCP,1号逆变器,1,2,,10.10.112.35:10502,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtu_addr,reg_addr,func_code,decode_code,frame_type,code,desc,save_interval,mul_coe,add_coe,max_limit,min_limit,is_ctrl	,ctrl_type,ctrl_no,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x7531,4,0x20,0,totalAcPower,总交流有功功率,60,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x7532,4,0x20,0,totalAcReactivePower,总交流无功功率,300,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x7533,4,0x20,0,totalApparentPower,总交流视在功率,60,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x7534,4,0x20,0,totalPowerFactor,总交流功率因数,60,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x7535,4,0x20,0,todayAcChargeEnergy,当天交流充电量,60,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x7536,4,0x20,0,todayAcDischargeEnergy,当天交流放电量,60,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x7537,4,0x20,0,pcsTemperature,PCS模块温度,300,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x7538,4,0x20,0,environmentTemperature,PCS环境温度,300,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x7539,4,0x20,0,phaseAVoltage,A相电压,300,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x753a,4,0x20,0,phaseBVoltage,B相电压,60,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x753b,4,0x20,0,phaseCVoltage,C相电压,60,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x753c,4,0x20,0,phaseACurrent,A相电流,60,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x753d,4,0x20,0,phaseBCurrent,B相电流,60,0.01,1,9999999,-9999999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
